,,1,2,3,4,5,6,7,8,9,10
blues,words,dont know,im going,hey hey,im gonna,dont want,ooh ooh,ive got,nah nah,aint got,baby dont
blues,frequencies,122.0,99.0,93.0,88.0,66.0,62.0,60.0,58.0,56.0,54.0
classical,words,oh oh,ah ah,dont wanna,dont know,gotta get,come come,let go,yeah yeah,youre gonna,im ready
classical,frequencies,26.0,24.0,13.0,12.0,10.0,8.0,7.0,7.0,6.0,6.0
country,words,oh oh,dont know,na na,dont wanna,ooh ooh,im gonna,yeah yeah,ive got,la la,good time
country,frequencies,610.0,371.0,352.0,270.0,267.0,230.0,188.0,137.0,137.0,120.0
funk,words,get get,dont stop,hey hey,oh oh,yeah yeah,ooh ooh,na na,oh yeah,im gonna,la la
funk,frequencies,251.0,200.0,199.0,195.0,116.0,86.0,77.0,77.0,69.0,68.0
hiphop,words,yeah yeah,na na,dont know,know im,la la,uh uh,oh oh,uh huh,dont wanna,feel like
hiphop,frequencies,764.0,320.0,260.0,213.0,206.0,201.0,182.0,176.0,170.0,169.0
indie_alt,words,oh oh,ooh ooh,la la,doo doo,dont know,yeah yeah,ah ah,dont wanna,na na,oh yeah
indie_alt,frequencies,361.0,283.0,214.0,169.0,150.0,131.0,103.0,94.0,91.0,86.0
jazz,words,na na,thats way,round round,let go,dont let,oh oh,ooh ooh,get get,dont know,little bit
jazz,frequencies,66.0,61.0,53.0,39.0,39.0,38.0,35.0,33.0,31.0,28.0
metal,words,oh oh,dont know,hey hey,da da,let go,ive got,cant see,go go,cause im,yeah !
metal,frequencies,130.0,119.0,119.0,103.0,99.0,91.0,91.0,91.0,78.0,77.0
pop,words,dont care,dont know,? yeah,yeah yeah,youve got,wanna go,youll never,lets get,dont even,ill take
pop,frequencies,5.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
punk,words,oh oh,la la,yeah yeah,dont know,na na,ive got,ooh ooh,im gonna,let go,dont wanna
punk,frequencies,321.0,164.0,158.0,148.0,140.0,112.0,106.0,104.0,103.0,80.0
rnb,words,oh oh,yeah yeah,love love,ooh ooh,dont know,dont wanna,oh yeah,let go,baby baby,oh baby
rnb,frequencies,651.0,580.0,282.0,226.0,206.0,178.0,171.0,137.0,118.0,98.0
rock,words,oh oh,na na,yeah yeah,doo doo,dont know,la la,da da,ooh ooh,ah ah,let go
rock,frequencies,876.0,687.0,432.0,428.0,339.0,334.0,282.0,266.0,247.0,225.0
romance,words,la la,dont know,yeah yeah,time time,love love,ooh ooh,oh oh,im gonna,dont want,let go
romance,frequencies,118.0,101.0,85.0,72.0,68.0,67.0,64.0,55.0,51.0,49.0
soul,words,la la,oh oh,yeah yeah,ooh ooh,du du,love love,dont know,ya ya,oh yeah,hey hey
soul,frequencies,358.0,299.0,275.0,235.0,202.0,176.0,154.0,132.0,105.0,97.0
