,count,mean,std,min,25%,50%,75%,max,range
blues,424.0,53.70754716981132,19.685093894339833,25.0,39.0,51.0,64.0,197.0,172.0
classical,93.0,78.23655913978494,64.72087188532774,25.0,44.0,61.0,90.0,503.0,478.0
country,1257.0,74.82020684168656,24.007187199218787,25.0,60.0,73.0,87.0,264.0,239.0
funk,282.0,73.09219858156028,38.42854453406592,26.0,50.0,63.0,83.75,257.0,231.0
hiphop,680.0,173.77058823529413,74.66769003292048,28.0,123.0,166.0,216.0,544.0,516.0
indie_alt,660.0,57.984848484848484,24.80142221694307,25.0,41.0,54.0,68.0,253.0,228.0
jazz,198.0,60.656565656565654,42.11783364547683,26.0,39.0,51.0,65.0,349.0,323.0
metal,898.0,69.17594654788418,26.775839798765155,25.0,51.0,64.0,82.0,220.0,195.0
pop,693.0,69.74891774891775,30.93803969432485,26.0,53.0,64.0,78.0,360.0,334.0
punk,569.0,70.07029876977153,30.31748635622478,25.0,51.0,66.0,82.0,315.0,290.0
rnb,362.0,85.18508287292818,33.7783470550515,31.0,61.0,79.0,100.0,220.0,189.0
rock,1225.0,63.481632653061226,25.927781752655086,25.0,48.0,59.0,74.0,308.0,283.0
romance,279.0,59.55913978494624,21.160127275319688,25.0,45.5,57.0,71.0,166.0,141.0
soul,411.0,70.64476885644768,30.872599590822006,26.0,50.0,64.0,82.0,238.0,212.0
