song,song_id,artist,artist_id,category,genres,filtered_genres,audio_ft_danceability,audio_ft_energy,audio_ft_key,audio_ft_loudness,audio_ft_mode,audio_ft_speechiness,audio_ft_acousticness,audio_ft_instrumentalness,audio_ft_liveness,audio_ft_valence,audio_ft_tempo,audio_ft_duration_ms,audio_ft_time_signature
Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,toplists,"['pop', 'viral', 'canadian', 'post-teen', 'dance']","['pop', 'viral', 'canadian', 'dance']",0.652,0.383,2,-7.076,0,0.0516,0.0676,0.0,0.0828,0.549,145.765,178994,4
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,toplists,"['pop', 'electropop']",['pop'],0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4
Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,toplists,"['pop', 'uk', 'dance']","['pop', 'uk', 'dance']",0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
positions,7igeByaBM0MgGsgXtNxDJ7,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,toplists,"['pop', 'post-teen']",['pop'],0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,172325,4
HOLIDAY,6zFMeegAMYQo0mt8rXtrli,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,toplists,"['lgbtq+', 'pop', 'queer', 'country']","['pop', 'country']",0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,154998,4
On Me,4Iedi94TIaB2GGb1nMB68v,Lil Baby,5f7VJjfbwm532GiveGC0ZK,toplists,"['atl', 'rap', 'trap']","['atl', 'rap', 'trap']",0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4
Way Out (feat. Big Sean),6rLi6PyWXu1rPlShuIZpj6,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,toplists,"['pop', 'trap', 'deep', 'rap', 'kentucky']","['pop', 'trap', 'deep', 'rap']",0.945,0.582,11,-8.357,0,0.0719,0.114,0.0,0.103,0.907,108.025,168906,4
Reminds Me Of You,5YSHygGN9D0mID1NsVd5my,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,toplists,"['chicago', 'melodic']",['melodic'],0.613,0.631,4,-6.965,1,0.12,0.0663,0.0,0.169,0.33,149.992,158033,4
Drankin N Smokin,0k7wmahjkn389wAZdz19Cv,Future,1RyvyyTE3xzB2ZywiAwp0i,toplists,"['atl', 'southern', 'pop', 'trap', 'rap']","['atl', 'pop', 'trap', 'rap']",0.752,0.658,0,-6.297,1,0.342,0.0421,0.0,0.0927,0.387,151.951,213520,4
Whoopty,5vGLcdRuSbUhD8ScwsGSdA,CJ,7arQA31aZVS8yS6zUveWzb,toplists,[],[],0.711,0.598,3,-7.621,0,0.182,0.19,0.0,0.15,0.737,140.175,123429,4
acting like that (feat. Machine Gun Kelly),6PxNpy8jOjyZ8aGCD58LpW,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,toplists,"['british', 'rock', 'modern']","['british', 'rock', 'modern']",0.522,0.9,0,-2.631,0,0.0719,6.98e-05,0.0,0.3,0.579,160.01,191067,4
