song,song_id,artist,artist_id,category,genres,audio_ft_danceability,audio_ft_energy,audio_ft_key,audio_ft_loudness,audio_ft_mode,audio_ft_speechiness,audio_ft_acousticness,audio_ft_instrumentalness,audio_ft_liveness,audio_ft_valence,audio_ft_tempo,audio_ft_duration_ms,audio_ft_time_signature
willow,0lx2cLdOt3piJbcaXIV74f,Taylor Swift,06HL4z0CvFAxyc27GXpf02,pop,"['dance', 'pop']",0.392,0.574,7.0,-9.195,1.0,0.17,0.833,0.00179,0.145,0.529,81.112,214707.0,4.0
Stay Next To Me (with Chelsea Cutler),6SGG5AxHShqSYiV9fCWpZz,Quinn XCII,3ApUX1o6oSz321MMECyIYd,pop,"['indie', 'pop', 'electropop']",0.581,0.584,2.0,-4.928,1.0,0.284,0.0805,0.0,0.366,0.7559999999999999,179.954,206046.0,4.0
WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,pop,['australian'],0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,161385.0,4.0
Heat Waves,3USxtqRwSYz57Ewm6wWRMp,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,pop,"['shiver', 'indietronica', 'gauze']",0.7609999999999999,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0
r u ok,7rq1zCf90CnU7OalBLIgNp,Tate McRae,45dkTj5sMRSjrmBSBeiHym,pop,"['dance', 'pop', 'electropop', 'post-teen']",0.6659999999999999,0.593,2.0,-5.905,1.0,0.0373,0.318,0.0,0.414,0.329,140.013,185850.0,4.0
BOYSHIT,3YmgsYX80v0EtBZekgcB6w,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,pop,"['dance', 'pop', 'electropop', 'post-teen']",0.638,0.6990000000000001,1.0,-6.542000000000002,1.0,0.0892,0.0203,0.0,0.0879,0.57,121.122,160398.0,4.0
Safe With Me (with Audrey Mika),6Skh3CBum0pZw9TOr7FQnX,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,pop,"['dance', 'pop', 'tropical', 'edm']",0.4970000000000001,0.757,11.0,-4.189,1.0,0.127,0.0449,0.0,0.119,0.507,169.90200000000004,205165.0,4.0
Remember That Night?,1nYzjrdVQ8RpF93M0jPFW7,Sara Kays,7Lk9V7E1u5gqSHmtcKlOqH,pop,"['pop', 'social', 'modern']",0.679,0.61,7.0,-10.936,0.0,0.0305,0.585,9.51e-05,0.156,0.5539999999999999,123.978,227186.0,4.0
Reminds Me Of You,5YSHygGN9D0mID1NsVd5my,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,pop,"['melodic', 'chicago']",0.613,0.631,4.0,-6.965,1.0,0.12,0.0663,0.0,0.16899999999999998,0.33,149.99200000000005,158033.0,4.0
Coco (feat. DaBaby),2V6pjeOCuPBVlatcWTXUtP,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,pop,['cali'],0.6920000000000001,0.774,7.0,-4.385,0.0,0.0872,0.146,0.0,0.155,0.5329999999999999,98.066,142000.0,4.0
fools (can't help falling in love) (feat. Sody),4VEEDnEFLI9dUy5QA51rom,Foster,6vCIRD06VaQwwaZS0TqiCz,pop,[],0.706,0.604,2.0,-6.932,1.0,0.303,0.418,0.0,0.242,0.361,82.03,165029.0,4.0
long story short,2o2sgVJIgFXk8GQjWTgI6U,Taylor Swift,06HL4z0CvFAxyc27GXpf02,pop,"['dance', 'pop']",0.546,0.73,0.0,-7.704,1.0,0.0417,0.66,0.179,0.0972,0.573,157.895,215920.0,4.0
Call My Friends,6KVxMOxlSYpC5nrvyWhYhx,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,"['pop', 'viral', 'canadian', 'post-teen', 'dance']",0.53,0.79,7.0,-5.0310000000000015,1.0,0.0344,0.0512,1.07e-06,0.122,0.438,146.09,171078.0,4.0
One Whole Day (feat. Wiz Khalifa),4eHceQL93Re1ZiaY7kRZ7F,Dixie D’Amelio,3DKkhRCGOG4e8IUPYFPfWs,pop,['social'],0.64,0.863,5.0,-4.002,1.0,0.0322,0.038,0.0,0.294,0.725,81.003,176854.0,4.0
Goosebumps,20McUFi8KCIVdNDLrkTDuZ,HVME,2o08sCWF5yyo2G4DCiT7T9,pop,[],0.767,0.659,1.0,-7.4289999999999985,1.0,0.0444,0.325,0.0,0.13,0.439,124.946,163208.0,4.0
Way Out (feat. Big Sean),57VeLYXrvNxe8Vs18K2M9W,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,pop,"['rap', 'trap', 'kentucky', 'deep', 'pop']",0.945,0.5820000000000001,11.0,-8.357000000000001,0.0,0.0719,0.114,0.0,0.103,0.907,108.025,168906.0,4.0
Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,"['pop', 'viral', 'canadian', 'post-teen', 'dance']",0.652,0.383,2.0,-7.0760000000000005,0.0,0.0516,0.0676,0.0,0.0828,0.5489999999999999,145.765,178994.0,4.0
Monsters (feat. Demi Lovato and blackbear),50DMJJpAeQv4fIpxZvQz2e,All Time Low,46gyXjRIvN1NL1eCB8GBxo,pop,"['rock', 'pop', 'post-teen', 'modern']",0.51,0.787,0.0,-3.712,0.0,0.0529,0.0137,0.0,0.368,0.7929999999999999,162.092,174425.0,4.0
acting like that (feat. Machine Gun Kelly),6PxNpy8jOjyZ8aGCD58LpW,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,pop,"['rock', 'british', 'modern']",0.522,0.9,0.0,-2.631,0.0,0.0719,6.979999999999999e-05,0.0,0.3,0.579,160.01,191067.0,4.0
Nothing's the Same,3NllHdYknM2F6UxxGevXWc,Alexander 23,6sFHvCyqklnJpXC9Nh1aag,pop,"['indie', 'pop']",0.735,0.32,11.0,-11.32,1.0,0.0437,0.528,0.00271,0.215,0.401,132.85299999999998,175041.0,4.0
Line Without a Hook,5jvgec3P4jyoZUPTy2pWDR,Ricky Montgomery,0ZUvK7zGdXLd78mQr3t1Tw,pop,"['rock', 'indie', 'modern', 'la']",0.4320000000000001,0.652,8.0,-4.9689999999999985,1.0,0.0285,0.262,0.0,0.258,0.507,190.028,249587.0,3.0
My Head & My Heart,1KixkQVDUHggZMU9dUobgm,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,pop,"['dance', 'pop']",0.614,0.934,9.0,-3.709,0.0,0.07,0.0697,0.0,0.121,0.436,116.001,174760.0,4.0
Fly Away,1jgu8MFTEGdL1wjw9gZj5y,Tones And I,2NjfBq1NflQcKSeiDooVjY,pop,['australian'],0.805,0.515,4.0,-6.2010000000000005,1.0,0.0915,0.223,0.0,0.238,0.488,124.969,178157.0,4.0
Plastic Hearts,6qCsKKS7Ol63SJW3LOIX5R,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,pop,"['dance', 'pop', 'post-teen']",0.551,0.7559999999999999,2.0,-4.948,1.0,0.0652,0.0511,0.0,0.0765,0.618,175.984,205733.0,4.0
Holding On,6CN7FuZ7o1xle9TNxApGeQ,iann dior,6ASri4ePR7RlsvIQgWPJpS,pop,"['melodic', 'pop']",0.706,0.76,8.0,-4.702,1.0,0.0369,0.0599,1.46e-06,0.202,0.564,95.499,126444.0,4.0
GIRL LIKE ME,2vBET2pmrQqafaS6zIaYta,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,pop,"['dance', 'pop']",0.964,0.486,2.0,-8.891,1.0,0.188,0.0194,0.04,0.0694,0.318,124.058,220659.0,4.0
Fuck Up the Friendship,1ddKUwm3UuvcMWLLAgOIcX,Leah Kate,6oWOHAOyBUn6aJlKIPJK9r,pop,[],0.745,0.736,1.0,-5.257999999999999,0.0,0.29,0.142,1.1e-05,0.11,0.77,104.008,172758.0,4.0
Teach Me How To Love,5LZtB6nxvjIhUoElp3Zqk0,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,"['pop', 'viral', 'canadian', 'post-teen', 'dance']",0.5920000000000001,0.885,9.0,-4.944,0.0,0.0807,0.0505,2.38e-06,0.0843,0.731,98.991,202357.0,4.0
gold rush,5BK0uqwY9DNfZ630STAEaq,Taylor Swift,06HL4z0CvFAxyc27GXpf02,pop,"['dance', 'pop']",0.512,0.462,9.0,-10.491,1.0,0.0408,0.83,0.166,0.121,0.353,112.05,185320.0,4.0
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,pop,"['pop', 'electropop']",0.889,0.34,11.0,-7.773,0.0,0.0697,0.218,0.13,0.055,0.716,94.009,174321.0,4.0
Walked Through Hell,6c7N5N7amAOpeMykjlovjI,Anson Seabra,2jHp7gQArCQrlMvdrIVFCg,pop,"['indie', 'pop']",0.508,0.404,10.0,-11.092,1.0,0.0788,0.664,0.0,0.104,0.129,81.71300000000002,216865.0,4.0
Bang!,53BHUFdQphHiZUUG3nx9zn,AJR,6s22t5Y3prQHyaHWUN1R1C,pop,['modern'],0.74,0.516,1.0,-6.233,0.0,0.0507,0.0183,0.0,0.0558,0.698,139.918,170858.0,4.0
