song,artist,artist_id,category,genres
positions,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,toplists,"['dance pop', 'pop', 'post-teen pop']"
Levitating (feat. DaBaby),Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,toplists,"['dance pop', 'pop', 'pop dance', 'uk pop']"
Therefore I Am,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,toplists,"['electropop', 'pop']"
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,toplists,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
HOLIDAY,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,toplists,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']"
On Me,Lil Baby,5f7VJjfbwm532GiveGC0ZK,toplists,"['atl hip hop', 'atl trap', 'rap']"
Tyler Herro,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,toplists,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Drankin N Smokin,Future,1RyvyyTE3xzB2ZywiAwp0i,toplists,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Whoopty,CJ,7arQA31aZVS8yS6zUveWzb,toplists,[]
Errbody,Lil Baby,5f7VJjfbwm532GiveGC0ZK,toplists,"['atl hip hop', 'atl trap', 'rap']"
acting like that (feat. Machine Gun Kelly),YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,toplists,"['british indie rock', 'modern rock', 'rock']"
Dirty,grandson,4ZgQDCtRqZlhLswVS6MHN4,toplists,"['modern alternative rock', 'modern rock', 'rock']"
ESTELLA// (feat. Travis Barker),KennyHoopla,5ObBtv5VunwwhQaXXnUrsM,toplists,['alternative r&b']
Trouble’s Coming,Royal Blood,2S5hlvw4CMtMGswFtfdK15,toplists,"['alternative rock', 'brighton indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']"
Take Me Away,Ayron Jones,1iEaqWaYpKo9x0OrEq7Q7z,toplists,['seattle indie']
Regardless,RAYE,5KKpBU5eC2tJDzf0wmlRp2,toplists,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk contemporary r&b', 'uk pop']"
Save My Life (feat. Lovespeake),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,toplists,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
Paul Is Dead,Scooter,0HlxL5hisLf59ETEPM3cUA,toplists,"['eurodance', 'europop', 'german techno', 'hamburg electronic', 'happy hardcore']"
No Time For Tears,Nathan Dawe,2gduEC76ry33RVurAvT05p,toplists,"['house', 'pop dance', 'tropical house', 'uk dance']"
Lovefool (feat. Pia Mia),twocolors,7ACEUD7UsmmXrnj4OLt8f9,toplists,['pop edm']
hole in the bottle (with Shania Twain),Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,toplists,"['contemporary country', 'pop']"
One Of Them Girls,Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,toplists,"['contemporary country', 'country', 'country road', 'modern country rock']"
Down To One,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,toplists,"['contemporary country', 'country', 'country road']"
GOOD TIME,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,toplists,['contemporary country']
Forever After All,Luke Combs,718COspgdWOnwOFpJHRZHS,toplists,['contemporary country']
Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2020,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,2020,['australian pop']
The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,2020,"['melodic rap', 'rap', 'trap']"
Roses - Imanbek Remix,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,2020,"['melodic rap', 'pop rap', 'rap']"
Don't Start Now,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,2020,"['dance pop', 'pop', 'pop dance', 'uk pop']"
Dakiti,Bad Bunny,4q3ewBCX7sLwd24euuV69X,2020,"['latin', 'reggaeton', 'trap latino']"
Toosie Slide,Drake,3TVXtAsR1Inumwj472S9r4,2020,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Azul,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,2020,"['latin', 'reggaeton', 'reggaeton colombiano']"
Come & Go (with Marshmello),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2020,"['chicago rap', 'melodic rap']"
Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,2020,"['canadian contemporary r&b', 'canadian pop', 'pop']"
everything i wanted,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2020,"['electropop', 'pop']"
the 1,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2020,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
34+35,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2020,"['dance pop', 'pop', 'post-teen pop']"
Physical,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,2020,"['dance pop', 'pop', 'pop dance', 'uk pop']"
Without Me,Halsey,26VFTg2z8YR0cCuwLzESi2,2020,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']"
Safaera,Bad Bunny,4q3ewBCX7sLwd24euuV69X,2020,"['latin', 'reggaeton', 'trap latino']"
