song,song_id,artist,artist_id,category,genres,filtered_genres,audio_ft_danceability,audio_ft_energy,audio_ft_key,audio_ft_loudness,audio_ft_mode,audio_ft_speechiness,audio_ft_acousticness,audio_ft_instrumentalness,audio_ft_liveness,audio_ft_valence,audio_ft_tempo,audio_ft_duration_ms,audio_ft_time_signature
positions,7igeByaBM0MgGsgXtNxDJ7,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,toplists,"['post-teen', 'dance', 'pop']","['dance', 'pop']",0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,172325,4
Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,toplists,"['dance', 'uk', 'pop']","['dance', 'uk', 'pop']",0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,toplists,"['electropop', 'pop']",['pop'],0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4
Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,toplists,"['dance', 'pop', 'canadian', 'post-teen', 'viral']","['dance', 'pop', 'canadian', 'viral']",0.652,0.383,2,-7.076,0,0.0516,0.0676,0.0,0.0828,0.549,145.765,178994,4
HOLIDAY,6zFMeegAMYQo0mt8rXtrli,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,toplists,"['queer', 'lgbtq+', 'country', 'pop']","['country', 'pop']",0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,154998,4
On Me,4Iedi94TIaB2GGb1nMB68v,Lil Baby,5f7VJjfbwm532GiveGC0ZK,toplists,"['rap', 'atl']","['rap', 'atl']",0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4
Regardless,3DTqHfTGj1c6y2gDXsTez4,RAYE,5KKpBU5eC2tJDzf0wmlRp2,toplists,"['dance', 'uk', 'tropical', 'pop', 'post-teen']","['dance', 'uk', 'tropical', 'pop']",0.749,0.82,7,-6.114,1,0.0478,0.0205,0.000685,0.0775,0.534,120.066,197573,4
Save My Life (feat. Lovespeake),1w8DxFHDDInmn5TovLKKrW,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,toplists,"['edm', 'dance', 'tropical', 'pop']","['edm', 'dance', 'tropical', 'pop']",0.704,0.745,11,-7.664,0,0.0448,0.00135,0.741,0.234,0.0511,128.002,183750,4
Paul Is Dead,7d5wXNOlF7TGZayKu0h12F,Scooter,0HlxL5hisLf59ETEPM3cUA,toplists,"['europop', 'german', 'hamburg', 'eurodance', 'happy']","['europop', 'german']",0.496,0.868,6,-4.577,0,0.0984,0.305,3.9e-05,0.16,0.237,169.861,175000,4
No Time For Tears,2Rr1INov0ckj7bLTsk9LV1,Nathan Dawe,2gduEC76ry33RVurAvT05p,toplists,"['uk', 'house', 'tropical', 'pop']","['uk', 'tropical', 'pop']",0.543,0.881,9,-3.035,0,0.188,0.0263,1.41e-05,0.107,0.397,125.009,196777,4
Lovefool (feat. Pia Mia),1Qw4FBX30bGdutJ19HBD7T,twocolors,7ACEUD7UsmmXrnj4OLt8f9,toplists,['pop'],['pop'],0.64,0.796,6,-5.141,1,0.0606,0.0233,0.0,0.239,0.164,122.905,190244,4
