song,artist,category
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,toplists
positions,Ariana Grande,toplists
Therefore I Am,Billie Eilish,toplists
Levitating (feat. DaBaby),Dua Lipa,toplists
Dakiti,Bad Bunny,toplists
Errbody,Lil Baby,toplists
Whoopty,CJ,toplists
Drankin N Smokin,Future,toplists
On Me,Lil Baby,toplists
PRACTICE,DaBaby,toplists
Regardless,RAYE,toplists
Save My Life (feat. Lovespeake),David Guetta,toplists
Paul Is Dead,Scooter,toplists
No Time For Tears,Nathan Dawe,toplists
Lovefool (feat. Pia Mia),twocolors,toplists
acting like that (feat. Machine Gun Kelly),YUNGBLUD,toplists
Dirty,grandson,toplists
ESTELLA// (feat. Travis Barker),KennyHoopla,toplists
Trouble’s Coming,Royal Blood,toplists
Take Me Away,Ayron Jones,toplists
Not Another Love Song,Ella Mai,toplists
Damage,H.E.R.,toplists
Hit Different,SZA,toplists
Wake Up Love,Teyana Taylor,toplists
Pick Up Your Feelings,Jazmine Sullivan,toplists
Blinding Lights,The Weeknd,2020
Dance Monkey,Tones And I,2020
The Box,Roddy Ricch,2020
Roses - Imanbek Remix,SAINt JHN,2020
Don't Start Now,Dua Lipa,2020
Dakiti,Bad Bunny,2020
Toosie Slide,Drake,2020
Azul,J Balvin,2020
Come & Go (with Marshmello),Juice WRLD,2020
Blinding Lights,The Weeknd,2020
everything i wanted,Billie Eilish,2020
the 1,Taylor Swift,2020
34+35,Ariana Grande,2020
Physical,Dua Lipa,2020
Without Me,Halsey,2020
Safaera,Bad Bunny,2020
Laugh Now Cry Later (feat. Lil Durk),Drake,2020
Rojo,J Balvin,2020
Wishing Well,Juice WRLD,2020
In Your Eyes,The Weeknd,2020
Dynamite,BTS,2020
Memories,Maroon 5,2020
Bohemian Rhapsody - Remastered 2011,Queen,2020
What Makes You Beautiful,One Direction,2020
Thunder,Imagine Dragons,2020
if we never met (feat. Kelsea Ballerini),John K,at_home
Demons,Imagine Dragons,at_home
Youngblood,5 Seconds of Summer,at_home
Without Me,Halsey,at_home
This City,Sam Fischer,at_home
(Everything I Do) I Do It For You,Bryan Adams,at_home
Another Day in Paradise - 2016 Remaster,Phil Collins,at_home
All Night Long (All Night) - Single Version,Lionel Richie,at_home
Kiss Me,Sixpence None The Richer,at_home
The Man Who Can't Be Moved,The Script,at_home
I Follow Rivers,Helion,at_home
Don't Leave Me Now,Lost Frequencies,at_home
Unbreakable (feat. Clarence Coffee Jr.),BUNT.,at_home
Hallucinate - Paul Woolford Remix,Dua Lipa,at_home
You Should Know (feat. Craig Smart),Sam Feldt,at_home
Prey,Lehiotik,at_home
I Don't Care,aesvec.,at_home
Crush,braj mahal,at_home
Wish We Could Stay Like This Forever,ocha,at_home
Sweet Hangover,Peter Kind,at_home
PAPÁS,Mau y Ricky,at_home
Tattoo - Remix with Camilo,Rauw Alejandro,at_home
Caramelo,Ozuna,at_home
my future,Billie Eilish,at_home
Intentions (feat. Quavo),Justin Bieber,at_home
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,pop
positions,Ariana Grande,pop
Therefore I Am,Billie Eilish,pop
Levitating (feat. DaBaby),Dua Lipa,pop
Dakiti,Bad Bunny,pop
Teach Me How To Love,Shawn Mendes,pop
Heat Waves,Glass Animals,pop
Coco (feat. DaBaby),24kGoldn,pop
Safe With Me (with Audrey Mika),Gryffin,pop
WITHOUT YOU,The Kid LAROI,pop
Levitating (feat. DaBaby),Dua Lipa,mood
The Best Days (feat. Tabitha),Sam Feldt,mood
Love Not War (The Tampa Beat),Jason Derulo,mood
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Miley Cyrus,mood
Fly Away,Tones And I,mood
This Will Be (An Everlasting Love),Natalie Cole,mood
Midnight Train to Georgia,Gladys Knight & The Pips,mood
How Long Do I Have to Wait for You?,Sharon Jones & The Dap-Kings,mood
Are You Ready to Love Me?,The War and Treaty,mood
Love Train,The O'Jays,mood
Garden Song,Phoebe Bridgers,mood
Ain't No Grave (Sparse),Crooked Still,mood
Washed Away,Emily Jane White,mood
Farm,Skullcrusher,mood
Drawing out the Line,Noah Gundersen,mood
Kiriume,Arden Forest,mood
Beginning,Megan Wofford,mood
Morgensol,Bolethe Kristensen,mood
Con el tiempo todo se consigue,Claribel Ramón,mood
Mali Lošinj,Valerija Novosel,mood
Body,Megan Thee Stallion,mood
Buss It,Erica Banks,mood
Bossa Nova (feat. Tee Grizzley),Kash Doll,mood
34+35,Ariana Grande,mood
Like That (feat. Gucci Mane),Doja Cat,mood
Woman in Love,Barbra Streisand,decades
Baby Can I Hold You,Tracy Chapman,decades
I Still Haven't Found What I'm Looking For - Remastered 2007,U2,decades
What's Love Got to Do with It,Tina Turner,decades
The Power Of Love,Huey Lewis & The News,decades
This Love,Maroon 5,decades
If You're Not The One,Daniel Bedingfield,decades
Just Dance,Lady Gaga,decades
About You Now,Sugababes,decades
Hips Don't Lie (feat. Wyclef Jean),Shakira,decades
Thinking out Loud,Ed Sheeran,decades
Sorry,Justin Bieber,decades
Roar,Katy Perry,decades
Glad You Came,The Wanted,decades
Señorita,Shawn Mendes,decades
I Want It That Way,Backstreet Boys,decades
Torn,Natalie Imbruglia,decades
Stay Another Day,East 17,decades
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,decades
Wonderwall,Oasis,decades
Stayin' Alive - Remastered Version,Bee Gees,decades
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,decades
Wonderful Tonight,Eric Clapton,decades
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,decades
September,"Earth, Wind & Fire",decades
Errbody,Lil Baby,hiphop
Whoopty,CJ,hiphop
Drankin N Smokin,Future,hiphop
On Me,Lil Baby,hiphop
PRACTICE,DaBaby,hiphop
Fallen Blixkys,22Gz,hiphop
No Negotiations,Sheff G,hiphop
TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI,hiphop
Like Me (feat. iann dior),$NOT,hiphop
Quicksand,Morray,hiphop
You’re Mines Still (feat. Drake),Yung Bleu,hiphop
Letter 2 U,J.I the Prince of N.Y,hiphop
Coco (feat. DaBaby),24kGoldn,hiphop
DOORS UNLOCKED (feat. Ty Dolla $ign & Polo G),Murda Beatz,hiphop
WRONG (feat. Lil Mosey),The Kid LAROI,hiphop
POWER,Kanye West,hiphop
Roman's Revenge,Nicki Minaj,hiphop
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,hiphop
Run This Town,JAY-Z,hiphop
Black and Yellow,Wiz Khalifa,hiphop
Body,Megan Thee Stallion,hiphop
Buss It,Erica Banks,hiphop
Bossa Nova (feat. Tee Grizzley),Kash Doll,hiphop
34+35,Ariana Grande,hiphop
Like That (feat. Gucci Mane),Doja Cat,hiphop
I'm Ready,Jaden,gaming
MEGALOVANIA,Toby Fox,gaming
Little,Jany Green,gaming
Unity,TheFatRat,gaming
"No Save Point - From ""Cyberpunk 2077""",Run The Jewels,gaming
B.B. King Freestyle (with Drake),Lil Wayne,gaming
Dunya (feat. LukeyWorld),GoldLink,gaming
So High,Tm88,gaming
Wolves (feat. Post Malone),Big Sean,gaming
Tyler Herro,Jack Harlow,gaming
Anything You Synthesize - Ambient,The American Dollar,gaming
Nobody,Hiatus,gaming
A Beautiful Mine,RJD2,gaming
Stop Everything! It's Snowing,Good Weather For An Airstrike,gaming
Open Eye Signal,Jon Hopkins,gaming
Fly with me,millennium parade × ghost in the shell: SAC_2045,gaming
(Theme From) Red Dead Redemption,Bill Elm & Woody Jackson,gaming
Death Stranding,CHVRCHES,gaming
Captured,Sami Matar,gaming
Infinity War,Alan Silvestri,gaming
Halo,Martin O'Donnell,gaming
The Last of Us,Gustavo Santaolalla,gaming
God of War,Bear McCreary,gaming
Pokémon®,Video Games Live,gaming
Dragonborn,Jeremy Soule,gaming
Astral Wonder,Moon Oceans,wellness
Evergreen,Cooper Sams,wellness
Karlavagnen,Karlavagnen,wellness
Montana,Isobel Belano,wellness
Electron,Sisi Row,wellness
A Message of Hope,Elise Magnefold,wellness
Morning Haze,Blissful Heaven,wellness
White Waves,Lama House,wellness
Midsummer Sun,Louis Debreaux,wellness
Cold Spring,Kyle McEvoy,wellness
Halvmåne,Månvarv,wellness
Phaedra,Arlette Leduc,wellness
Eyes of Redemption,Dolores Fernel,wellness
Sogno Illuminum,Enchanted Feel,wellness
Endless Nights,Devansh Tushar,wellness
Lugnet,Najma Wallin,wellness
Ethereal,Threedust,wellness
Spaces,Spirit Minds,wellness
Pampus,Dardan Leistra,wellness
Rêvasseur,Charmaine D'Avis,wellness
Forever Vanished,Rick Hagen,wellness
Warmest Embrace,Dean Valio,wellness
Ocean Deep,MAVALA,wellness
Phaedra,Arlette Leduc,wellness
Will you be there when I wake up,Gemma Casimaty,wellness
HOLIDAY,Lil Nas X,workout
Walk Em Down (feat. Roddy Ricch),NLE Choppa,workout
GTA (feat. 42 Dugg),Meek Mill,workout
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,workout
Soy Una Gargola,Rauw Alejandro,workout
XS,Rina Sawayama,workout
Purple Hat,Sofi Tukker,workout
Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,workout
Fever,Dua Lipa,workout
Higher Love,Kygo,workout
Prisoner (feat. Dua Lipa),Miley Cyrus,workout
Donuts (feat. Yung Bae),kenzie,workout
Safe With Me (with Audrey Mika),Gryffin,workout
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,workout
Love Not War (The Tampa Beat),Jason Derulo,workout
Mad World,Timmy Trumpet,workout
Energy,Stace Cadet,workout
Goosebumps,HVME,workout
Love Not War (The Tampa Beat),Jason Derulo,workout
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Miley Cyrus,workout
I Follow Rivers,Helion,workout
Don't Leave Me Now,Lost Frequencies,workout
Unbreakable (feat. Clarence Coffee Jr.),BUNT.,workout
Hallucinate - Paul Woolford Remix,Dua Lipa,workout
You Should Know (feat. Craig Smart),Sam Feldt,workout
Goosebumps,Bastille,chill
Can’t Imagine,Shawn Mendes,chill
Better Days (feat. Justin Timberlake),Ant Clemons,chill
Umbrella,Duncan Laurence,chill
Angels Like You,Miley Cyrus,chill
Alabora,Beyhude,chill
Swim,COLIN,chill
All I Ever Wanted,Misc.Inc,chill
Follow Me,SoN,chill
Schwimmend,Karl Rosskopf,chill
dreamin',53 Thieves,chill
I Need U,yaeow,chill
homebody,Kamal.,chill
Rain,Lucy Park,chill
You're All I Want,Cigarettes After Sex,chill
don't be so hard on yourself,dj poolboi,chill
All My Days,Forester,chill
Her Theme,Lstn,chill
I Can't See,ROW,chill
Ikebana,Nora Van Elken,chill
900 Miles,Terry Callier,chill
Let Him Fly,Patty Griffin,chill
Our Town,Iris DeMent,chill
Clay Pigeons,John Prine,chill
Ooh La La - 2015 Remaster,Faces,chill
Flow,Michael Brogadaccio,focus
Spaces,Gus Cleese,focus
The Tower of Embellion,Muni Yogi,focus
Quiet Dreams,MVS,focus
Quasar,Tejal Yann,focus
Reveries,Ava Cerasoli,focus
Sea Change,Stephan Moccio,focus
All that Glitters,Mino Monterosso,focus
Vals De Rodrigues,Eric Badanti,focus
Ripples,Sean Oban,focus
Stardust,Riccardo Frediani,focus
May,Mree,focus
Oltre - The Shape Of Piano To Come Vol. I,Emiliano Blangero,focus
Gaia - The Shape Of Piano To Come Vol. I,Angel Ruedinger,focus
Mare di dicembre,Francesco Taskayali,focus
Remembering,Ever So Blue,focus
Rites of Passage,Chris Donner,focus
Things Unsaid,Marcos Betancourt,focus
Gouttes,Guilliaume Om,focus
Morning Sun,Irma Kantola,focus
Young Love,Pamela Goldings,focus
Now and Then,Carluccio,focus
Memories In Red,Fredrik Lundberg,focus
Asilah,Sumsar,focus
Humbly,Gail Singleton,focus
Schlafmittel,Felix Hertzog,sleep
Étude des Papillons,Planète Sauvage,sleep
Sogno Illuminum,Enchanted Feel,sleep
Touha,Marie Protivová,sleep
Med slutna ögon,Najma Wallin,sleep
Calm Waves pt. 2,Outside HD Samples,sleep
Soothing Evening waves Of Nerja 1,Soothing Waves Of Nerja,sleep
Pebble Beach Waves,Shoreline Sounds,sleep
Baltic Ocean Wave Sounds,JBE Nature Sounds,sleep
Waves in Westhampton Beach,Ocean in HD,sleep
Close Ear to Ear Whispered Countdown to Sleep Pt.4,HeatheredEffect ASMR,sleep
Let Me Help You Fall Asleep ASMR,Angel's Tempting Tingles ASMR,sleep
A is for Apple,ASMR Bedtime,sleep
"Super sleepy attention, close positive whispers, inaudible whispers Pt.1",RoseASMR,sleep
Sleep Clinic Part 2,Karuna Satori ASMR,sleep
Deeper Sun,Abe Hathot,sleep
Late in the Afternoon,Project Kronos,sleep
Placidity - Studio Edit,SARAB,sleep
Lucent Path,NAYAT,sleep
Nada,Clarissa Bitar,sleep
Someone Like You (feat. Gia Koka) - Azello Remix,DJ D-Sol,party
NOPUS,Eric Prydz,party
